id,brand_name,product_name,sku,original_price,recieve_date,exp_date,image_urls
1,brand_15,product_48,388,57,2020-10-09,2021-07-17,product[object Object]
2,brand_1,product_9,998,966.87,2020-08-21,2021-08-25,product[object Object]
3,brand_27,product_28,824,19.06,2020-09-09,2021-05-01,product[object Object]
4,brand_19,product_44,926,881.02,2020-03-08,2021-03-02,product[object Object]
5,brand_2,product_30,268,726.59,2020-12-24,2021-07-02,product[object Object]
6,brand_5,product_11,526,16.76,2020-02-22,2021-05-28,product[object Object]
7,brand_43,product_47,578,891.06,2020-08-28,2021-09-19,product[object Object]
8,brand_35,product_0,135,513.04,2020-06-10,2021-10-25,product[object Object]
9,brand_25,product_7,300,489.08,2020-08-23,2021-02-18,product[object Object]
10,brand_21,product_48,395,41.02,2020-12-17,2021-05-06,product[object Object]
11,brand_10,product_23,139,550.77,2020-05-29,2021-01-18,product[object Object]
12,brand_40,product_49,328,991.56,2020-12-20,2021-06-06,product[object Object]
13,brand_28,product_3,271,769.44,2020-12-05,2021-08-09,product[object Object]
14,brand_46,product_25,106,96.84,2020-09-24,2021-02-10,product[object Object]
15,brand_42,product_12,487,797.5,2020-06-29,2021-01-25,product[object Object]
16,brand_40,product_37,205,896.52,2020-03-12,2021-02-04,product[object Object]
17,brand_31,product_5,36,410.76,2020-07-08,2021-07-11,product[object Object]
18,brand_44,product_45,284,33.75,2020-06-02,2021-07-14,product[object Object]
19,brand_37,product_8,122,866.31,2020-02-12,2021-12-31,product[object Object]
20,brand_34,product_28,558,517.25,2020-05-09,2021-05-01,product[object Object]
21,brand_1,product_0,108,642.82,2020-09-18,2021-08-25,product[object Object]
22,brand_18,product_47,650,704.41,2020-02-17,2021-01-17,product[object Object]
23,brand_44,product_20,251,589.94,2020-11-10,2021-11-28,product[object Object]
24,brand_11,product_33,83,53.95,2020-03-14,2021-05-27,product[object Object]
25,brand_11,product_37,304,52.34,2020-11-13,2021-12-25,product[object Object]
26,brand_39,product_22,776,608.82,2020-11-09,2021-07-21,product[object Object]
27,brand_11,product_14,330,566.78,2020-02-24,2021-02-12,product[object Object]
28,brand_23,product_46,31,454.84,2020-03-03,2021-06-16,product[object Object]
29,brand_26,product_24,838,356.71,2020-06-10,2021-10-01,product[object Object]
30,brand_0,product_23,932,36.94,2020-02-11,2021-12-01,product[object Object]
31,brand_23,product_21,323,471.1,2020-09-07,2021-02-21,product[object Object]
32,brand_7,product_31,1,455.98,2020-11-22,2021-11-26,product[object Object]
33,brand_39,product_15,9,286.33,2020-08-15,2021-11-25,product[object Object]
